"Name","RA_Hours","Dec_Degrees","pm_ra","pm_dec","Visual Magnitude"
"NGC 1 (Galaxy - G-S - NGC 1)","0.121071","27.708061","0","0","12.9"
"NGC 2 (Galaxy - G-S - NGC 2)","0.121421","27.678343","0","0","14.2"
"NGC 3 (Galaxy - G-S - NGC 3)","0.121333","8.301660","0","0","13.4"
"NGC 4 (Galaxy - G-S - NGC 4)","0.123444","8.375000","0","0","16.4"
"NGC 14 (Galaxy - G-S - NGC 14)","0.141000","15.815000","0","0","12.4"
"NGC 16 (Galaxy - G-S - NGC 16)","0.151188","27.729409","0","0","12.0"
"NGC 22 (Galaxy - G-S - NGC 22)","0.162000","27.931000","0","0","14.8"
"NGC 23 (Galaxy - G-S - NGC 23)","0.164836","25.923739","0","0","12.0"
"NGC 24 (Galaxy - G-S - NGC 24)","0.165706","-24.963131","0","0","11.5"
"NGC 31 (Galaxy - G-S - NGC 31)","0.175000","-56.985000","0","0","14.6"
"NGC 40 (Bow-Tie Nebula - PN - Caldwell C2)","0.216949","72.521954","-7.3","-1.8","6.1"
"NGC 45 (Galaxy - G-S - NGC 45)","0.234446","-23.181981","-0.3","0.1","10.4"
"NGC 55 (Whale Galaxy - G-Ir - Caldwell C72)","0.251000","-39.191000","0","0","5.0"
"NGC 78 (Galaxy - G-S - NGC 78)","0.340975","0.833555","0","0"
"NGC 104 (47 Tucanae - GC - Caldwell C106)","0.401489","-72.081444","5.2","-2.5","4.5"
"NGC 129 (Open Cluster - OC - NGC 129)","0.498000","60.217000","0","0","6.5"
"NGC 134 (Galaxy - G-S - NGC 134)","0.506002","-33.246170","0","0","10.3"
"NGC 147 (Galaxy - G-E - Caldwell C17)","0.553367","48.508739","0","0","8.3"
"NGC 151 (Galaxy - G-S - NGC 151)","0.565000","-9.701000","0","0","11.7"
"NGC 157 (Galaxy - G-S - NGC 157)","0.579663","-8.396465","0","0","13.1"
"NGC 185 (Galaxy - G-E - Caldwell C18)","0.649428","48.337510","0","0","5.5"
"NGC 188 (Polaris Cluster - OC - Caldwell C1)","0.791000","85.255000","0","0","8.1"
"NGC 205 (Messier 110 - G-E - Messier M110)","0.672794","41.685419","-1.7","-0.7","8.5"
"NGC 206 (Star Cloud in M31 - AS - Star Cloud - Andromeda)","0.671000","40.735000","0","0","3.4"
"NGC 221 (Messier 32 - G-E - Messier M32)","0.711618","40.865170","-17.0","-5.0","8.1"
"NGC 224 (Messier 31 - Andromeda Galaxy - G-S - Messier M31)","0.712314","41.268750","0","0","3.4"
"NGC 246 (Skull Nebula - PN - Caldwell C56)","0.784262","-11.871936","-16.9","-9.2","4.6"
"NGC 247 (Galaxy - G-S - Caldwell C62)","0.785709","-20.760400","0","0","7.4"
"NGC 253 (Sculptor Galaxy - G-S - Caldwell C65)","0.792537","-25.288800","0","0","7.1"
"NGC 278 (Galaxy - G-S - NGC 278)","0.865000","47.551000","0","0","10.9"
"NGC 281 (Pacman Nebula - EN - NGC 281)","0.879000","56.611000","0","0"
"NGC 288 (Globular Cluster - GC - NGC 288)","0.879233","-26.582611","4.2","-5.7","8.1"
"NGC 292 (Small Magellanic Cloud - G-Ir - SMC)","0.877222","-72.800278","0.8","-1.1","2.3"
"NGC 300 (Galaxy - G-S - Caldwell C70)","0.914846","-37.684213","-0.1","-0.9","8.1"
"NGC 307 (Galaxy - G-S - NGC 307)","0.913000","-1.771000","0","0","12.8"
"NGC 309 (Galaxy - G-S - NGC 309)","0.915000","-9.913000","0","0","12.2"
"NGC 330 (Open Cluster - OC - NGC 330)","0.935000","-72.465000","0","0","9.6"
"NGC 337 (Galaxy - G-S - NGC 337)","0.975000","-7.575000","0","0","11.5"
"NGC 338 (Galaxy - G-S - NGC 338)","1.015000","30.671000","0","0","12.7"
"NGC 346 (Emission Nebula + Open Cluster - EN+OC - NGC 346)","0.985000","-72.171000","0","0"
"NGC 362 (Globular Cluster - GC - Caldwell C104)","1.053961","-70.848778","6.7","-2.5","3.6"
"NGC 381 (Open Cluster - OC - NGC 381)","1.125000","61.585000","0","0","9.3"
"NGC 404 (Mirach's Ghost - G-E - NGC 404)","1.155000","35.717000","0","0","10.6"
"NGC 436 (Open Cluster - OC - NGC 436)","1.266700","58.820800","0","0","8.8"
"NGC 457 (Owl Cluster - OC - Caldwell C13)","1.325000","58.333000","0","0","8.1"
"NGC 488 (Galaxy - G-S - NGC 488)","1.362999","5.256840","0","0","10.3"
"NGC 524 (Galaxy - G-S - NGC 524)","1.413262","9.538914","0","0","10.4"
"NGC 559 (Open Cluster - OC - Caldwell C8)","1.492556","63.300556","-4.3","0.3","9.0"
"NGC 581 (Messier 103 - OC - Messier M103)","1.554000","60.701000","0","0","7.4"
"NGC 584 (Galaxy - G-E - NGC 584)","1.521000","-6.841000","0","0","10.4"
"NGC 596 (Galaxy - G-E - NGC 596)","1.545000","-7.025000","0","0","11.0"
"NGC 598 (Messier 33 - Triangulum Galaxy - G-S - Messier M33)","1.564138","30.660175","0.7","0.8","5.7"
"NGC 602 (Open Cluster - OC - NGC 602)","1.492259","-73.560593","0","0","13.0"
"NGC 604 (Emission Nebula in M33 - EN - Messier M33)","1.575600","30.783600","0","0","5.7"
"NGC 613 (Galaxy - G-S - NGC 613)","1.571732","-29.418489","0","0","10.4"
"NGC 628 (Messier 74 - G-S - Messier M74)","1.611596","15.783641","0.3","-0.2","9.4"
"NGC 637 (Open Cluster - OC - NGC 637)","1.715000","64.035000","0","0","8.2"
"NGC 650 (Messier 76 - Little Dumbbell Nebula - PN - Messier M76)","1.705460","51.575426","2.6","-3.0","10.1"
"NGC 651 (Little Dumbbell Nebula - PN - Messier M76)","1.705460","51.575426","2.6","-3.0","10.1"
"NGC 654 (Open Cluster - OC - NGC 654)","1.733750","61.885000","-1.1","-0.3","6.5"
"NGC 659 (Open Cluster - OC - NGC 659)","1.738000","60.701000","0","0","7.9"
"NGC 663 (Open Cluster - OC - Caldwell C10)","1.768000","61.217000","0","0","7.2"
"NGC 672 (Galaxy - G-S - NGC 672)","1.795000","27.431000","0","0","10.9"
"NGC 720 (Galaxy - G-E - NGC 720)","1.883479","-13.738681","0","0","10.1"
"NGC 744 (Open Cluster - OC - NGC 744)","1.972000","55.471000","0","0","7.9"
"NGC 752 (Open Cluster - OC - Caldwell C28)","1.951000","37.685000","0","0","9.7"
"NGC 770 (Galaxy - G-S - NGC 770)","1.987123","18.954643","0","0","13.5"
"NGC 772 (Galaxy - G-S - NGC 772)","1.988765","19.007632","-0.0","0.0","10.3"
"NGC 779 (Galaxy - G-S - NGC 779)","1.995183","-5.964270","0","0","11.2"
"NGC 869 (Double Cluster h Persei - OC - Double Cluster)","2.317000","57.133000","0","0","3.7"
"NGC 884 (Double Cluster χ Persei - OC - Double Cluster)","2.373000","57.147000","0","0","3.8"
"NGC 891 (Needle Galaxy - G-S - Caldwell C23)","2.375808","42.348319","0","0","7.5"
"NGC 908 (Galaxy - G-S - NGC 908)","2.384603","-21.233850","0","0","10.3"
"NGC 925 (Galaxy - G-S - NGC 925)","2.454698","33.578881","0","0","10.1"
"NGC 936 (Galaxy - G-E - NGC 936)","2.460406","-1.156281","0","0","10.2"
"NGC 1022 (Galaxy - G-S - NGC 1022)","2.642418","-6.677389","0","0","11.4"
"NGC 1023 (Galaxy - G-E - NGC 1023)","2.673337","39.063240","-0.5","0.3","9.5"
"NGC 1027 (Open Cluster - OC - NGC 1027)","2.715000","61.551000","0","0","6.7"
"NGC 1039 (Messier 34 - OC - Messier M34)","2.701000","42.785000","0","0","5.5"
"NGC 1052 (Galaxy - G-E - NGC 1052)","2.684666","-8.255764","0","0","11.0"
"NGC 1055 (Galaxy - G-S - NGC 1055)","2.695898","0.443181","0","0","10.6"
"NGC 1068 (Messier 77 - G-S - Messier M77)","2.711308","-0.013294","0","0","8.9"
"NGC 1084 (Galaxy - G-S - NGC 1084)","2.766646","-7.578639","0","0","10.6"
"NGC 1097 (Galaxy - G-S - Caldwell C67)","2.771961","-30.274911","0","0","6.3"
"NGC 1232 (Eye of God Galaxy - G-S - NGC 1232)","3.162643","-20.579300","0","0","10.1"
"NGC 1245 (Open Cluster - OC - NGC 1245)","3.245639","47.235000","0.5","-1.6","8.4"
"NGC 1275 (Perseus A - G-E - Caldwell C24)","3.330044","41.511697","0.1","-0.2","8.1"
"NGC 1291 (Galaxy - G-S - NGC 1291)","3.288494","-41.107952","0.9","-0.3"
"NGC 1300 (Barred Spiral Galaxy - G-S - NGC 1300)","3.328068","-19.411163","-1.0","2.9","10.5"
"NGC 1313 (Galaxy - G-Ir - NGC 1313)","3.304457","-66.498261","0","0","9.5"
"NGC 1316 (Fornax A - G-E - NGC 1316)","3.378275","-37.208200","0","0","8.5"
"NGC 1333 (Reflection Nebula - RN - NGC 1333)","3.485000","31.352000","0","0","10.9"
"NGC 1342 (Open Cluster - OC - NGC 1342)","3.525000","37.335000","0","0","6.7"
"NGC 1360 (Robin's Egg Nebula - PN - NGC 1360)","3.554069","-25.871660","1.8","26.9","9.4"
"NGC 1365 (Great Barred Spiral - G-S - NGC 1365)","3.555000","-36.140000","0","0","10.1"
"NGC 1380 (Galaxy - G-E - NGC 1380)","3.605000","-34.955000","0","0","9.9"
"NGC 1399 (Galaxy - G-E - NGC 1399)","3.641412","-35.450742","0","0","9.4"
"NGC 1404 (Galaxy - G-E - NGC 1404)","3.647755","-35.594392","0","0","9.9"
"NGC 1432 (Maia Nebula - RN - Pleiades)","3.765000","24.371000","0","0","3.9"
"NGC 1433 (Galaxy - G-S - NGC 1433)","3.700412","-47.221925","0","0","10.0"
"NGC 1435 (Merope Nebula - RN - Pleiades)","3.771000","23.861000","0","0","4.2"
"NGC 1444 (Open Cluster - OC - NGC 1444)","3.821000","52.651000","0","0","6.6"
"NGC 1491 (Emission Nebula - EN - NGC 1491)","4.055000","51.315000","0","0"
"NGC 1499 (California Nebula - EN - NGC 1499)","4.055000","36.417000","0","0","5.0"
"NGC 1501 (Oyster Nebula - PN - NGC 1501)","4.116498","60.920633","2.1","-5.3","11.5"
"NGC 1502 (Golden Harp Cluster - OC - NGC 1502)","4.130389","62.326389","-0.6","-0.8","6.9"
"NGC 1513 (Open Cluster - OC - NGC 1513)","4.164972","49.504167","1.3","-3.7","8.4"
"NGC 1514 (Crystal Ball Nebula - PN - NGC 1514)","4.154718","30.775964","-6.3","3.7","10.2"
"NGC 1528 (Open Cluster - OC - NGC 1528)","4.255000","51.235000","0","0","6.4"
"NGC 1535 (Cleopatra's Eye - PN - NGC 1535)","4.237714","-12.739426","3.4","-1.7","9.6"
"NGC 1545 (Open Cluster - OC - NGC 1545)","4.352000","50.251000","0","0","6.2"
"NGC 1582 (Open Cluster - OC - NGC 1582)","4.531000","43.745000","0","0","7.0"
"NGC 1605 (Open Cluster - OC - NGC 1605)","4.585000","45.231000","0","0","10.7"
"NGC 1624 (Emission Nebula + Open Cluster - EN+OC - NGC 1624)","4.676667","50.461667","0.0","-0.5","11.8"
"NGC 1647 (Open Cluster - OC - NGC 1647)","4.765000","19.065000","0","0","6.4"
"NGC 1662 (Open Cluster - OC - NGC 1662)","4.815000","10.931000","0","0","6.4"
"NGC 1664 (Kite Cluster - OC - NGC 1664)","4.851000","43.681000","0","0","7.6"
"NGC 1746 (Open Cluster - OC - NGC 1746)","5.061000","23.815000","0","0","6.1"
"NGC 1778 (Open Cluster - OC - NGC 1778)","5.135528","37.016944","0.5","-3.1","7.7"
"NGC 1788 (Fox Face Nebula - RN - NGC 1788)","5.115000","-3.341667","0","0","5.8"
"NGC 1807 (Open Cluster - OC - NGC 1807)","5.175000","16.515000","0","0","7.0"
"NGC 1817 (Open Cluster - OC - NGC 1817)","5.202000","16.685000","0","0","7.7"
"NGC 1851 (Globular Cluster - GC - Caldwell C73)","5.235211","-40.046556","2.1","-0.6","7.3"
"NGC 1857 (Open Cluster - OC - NGC 1857)","5.335361","39.336944","0.6","-1.3","7.0"
"NGC 1893 (Open Cluster - OC - NGC 1893)","5.381000","33.415000","0","0","7.5"
"NGC 1904 (Messier 79 - GC - Messier M79)","5.408000","-24.525000","0","0","7.7"
"NGC 1907 (Open Cluster - OC - NGC 1907)","5.468667","35.325833","-0.0","-3.4","8.2"
"NGC 1912 (Messier 38 - Starfish Cluster - OC - Messier M38)","5.478000","35.855000","0","0","7.4"
"NGC 1931 (The Fly Nebula - EN+OC - NGC 1931)","5.525000","34.251000","0","0","10.1"
"NGC 1952 (Messier 1 - Crab Nebula - SNR - Messier M1)","5.575000","22.015000","0","0","8.4"
"NGC 1960 (Messier 36 - Pinwheel Cluster - OC - Messier M36)","5.602000","34.135000","0","0","6.3"
"NGC 1961 (Galaxy - G-S - NGC 1961)","5.701300","69.378400","0","0","11.5"
"NGC 1973 (Running Man Nebula - RN - NGC 1973)","5.585000","-4.815000","0","0","7.0"
"NGC 1976 (Messier 42 - Orion Nebula - EN - Messier M42)","5.585000","-5.385000","0","0","4.0"
"NGC 1977 (Running Man Nebula - RN - NGC 1977)","5.585000","-4.815000","0","0"
"NGC 1980 (Open Cluster in M42 - OC - Messier M42)","5.587639","-5.929444","1.2","0.6","4.0"
"NGC 1981 (Open Cluster - OC - NGC 1981)","5.586000","-4.417000","0","0","4.2"
"NGC 1982 (Messier 43 - De Mairan's Nebula - EN - Messier M43)","5.592000","-5.268000","0","0","9.0"
"NGC 1999 (Keyhole Reflection Nebula - RN - NGC 1999)","5.605000","-6.745000","0","0","9.5"
"NGC 2022 (Planetary Nebula - PN - NGC 2022)","5.701720","9.086274","-0.2","-1.6","11.6"
"NGC 2023 (Reflection Nebula - RN - NGC 2023)","5.692000","-2.251000","0","0"
"NGC 2024 (Flame Nebula - EN - NGC 2024)","5.698000","-1.865000","0","0"
"NGC 2068 (Messier 78 - RN - Messier M78)","5.778000","0.012000","0","0","8.3"
